Seed,Score,ExecTime,N,M,T,U,GridMean,GridStd,GridMax,GridMin,AvgGradient,MaxGradient,HighValueConcentration,MaxDistFromCenter,CenterEdgeRatio,CenterMean,EdgeMean,CornersMean,EnemyAvgDistance,EnemySpread,EnemyCentroidFromCenter,EnemyAvgValue,EnemyMinDistToHighValue
0526,124188,1899,10,6,100,4,1000.00,202.12,1376,675,244.69,686,5.42,5.00,0.99,994.47,1003.11,1276.00,6.83,1.70,2.25,1177.50,2.00
0527,71935,1877,10,7,100,3,1000.00,309.30,2077,505,200.66,549,1.97,5.00,1.06,1036.19,979.64,747.25,6.67,1.71,1.67,1117.33,3.00
0528,188726,1903,10,5,100,3,1000.00,173.51,1500,715,69.96,271,1.69,6.00,1.10,1060.53,965.95,847.50,6.67,0.69,2.33,1086.67,2.33
0529,77425,1861,10,5,100,4,1000.00,408.47,1812,421,480.07,1350,3.07,7.00,1.01,1006.06,996.59,718.25,4.00,0.85,4.00,1075.50,2.50
0530,95932,1892,10,4,100,4,1000.00,487.24,2342,314,364.22,1582,2.17,6.00,0.91,943.50,1031.78,1006.25,7.00,1.22,1.50,855.00,3.00
0531,114958,1906,10,4,100,3,1000.00,127.99,1178,757,150.94,404,4.21,4.00,0.93,956.22,1024.62,1032.25,8.67,2.55,3.67,903.00,1.67
0532,117132,1894,10,6,100,5,1000.00,241.62,1446,428,116.50,380,3.88,3.00,1.24,1139.00,921.81,697.25,8.20,2.38,0.40,873.00,4.20
0533,142375,1902,10,6,100,2,1000.00,336.01,1688,473,387.86,1193,4.05,2.00,1.05,1030.61,982.78,884.25,7.00,0.00,1.50,952.50,1.50
0534,152120,1890,10,4,100,1,1000.00,298.48,1576,817,131.81,756,1.52,6.00,1.03,1017.00,990.44,832.25,0.00,0.00,6.00,822.00,4.00
0535,155178,1886,10,2,100,5,1000.00,503.65,2416,299,307.51,1040,1.57,3.00,1.58,1306.36,827.67,614.25,3.00,0.00,5.50,771.50,4.00
0536,227914,1892,10,6,100,2,1000.00,255.25,2160,663,121.76,616,1.64,2.00,1.40,1223.11,874.50,747.25,3.00,0.00,5.50,882.50,4.50
0537,113346,1869,10,5,100,5,1000.00,304.72,2107,497,142.88,496,1.79,6.00,1.09,1057.25,967.80,817.75,4.60,1.61,4.00,794.60,7.00
0538,173770,1865,10,6,100,1,1000.00,335.47,2024,528,384.99,1308,4.78,5.00,1.07,1045.22,974.56,993.50,0.00,0.00,8.00,833.00,5.00
0539,278198,1888,10,4,100,1,1000.00,331.72,1819,600,115.58,332,1.55,3.00,1.40,1225.36,873.23,694.00,0.00,0.00,9.00,600.00,7.00
0540,101355,1886,10,4,100,4,1000.00,887.54,3677,119,283.50,1378,1.60,7.00,0.91,943.00,1032.06,1161.25,7.67,1.83,2.00,878.75,5.00
0541,237216,1867,10,6,100,1,1000.00,314.22,2013,542,183.51,861,3.72,8.00,1.22,1127.97,928.02,981.75,0.00,0.00,5.00,963.00,4.00
0542,74911,1870,10,8,100,3,1000.00,381.12,2166,366,430.83,1145,4.58,5.00,1.15,1093.03,947.67,947.75,10.67,4.25,0.67,1170.00,1.67
0543,126553,1902,10,6,100,3,1000.00,236.23,1668,528,136.71,421,2.46,7.00,1.12,1076.42,957.02,898.25,10.00,2.50,2.67,927.00,4.33
0544,233501,1897,10,2,100,2,1000.00,484.19,1948,337,516.99,1595,4.43,5.00,1.15,1088.94,949.97,972.75,6.00,0.00,2.00,954.00,1.50
0545,77980,1906,10,4,100,5,1000.00,327.20,1688,473,370.81,1111,4.18,5.00,0.91,940.56,1033.44,923.00,8.33,3.92,2.00,949.50,1.75
0546,264360,1906,10,3,100,4,1000.00,216.45,1397,702,263.94,695,4.08,4.00,1.01,1003.92,997.80,1012.00,8.00,2.33,1.33,1096.67,1.33
0547,127239,1888,10,5,100,3,1000.00,186.79,1684,802,85.04,705,2.31,1.00,1.18,1107.56,939.50,878.50,5.33,1.68,2.67,1109.00,2.33
0548,178184,1878,10,3,100,3,1000.00,231.23,2066,708,73.48,468,1.69,7.00,0.99,993.06,1003.91,964.75,5.33,1.20,3.00,1172.33,1.67
0549,109959,1870,10,8,100,4,1000.00,497.46,2030,193,252.07,750,2.23,4.00,1.16,1094.94,946.59,727.50,7.50,1.47,0.75,1024.00,4.25
0550,287445,1866,10,5,100,1,1000.00,297.59,1490,476,76.72,159,1.55,4.00,1.21,1122.67,931.00,765.50,0.00,0.00,2.00,1395.00,0.00
0551,143421,1911,10,3,100,5,1000.00,516.69,2196,256,293.87,1189,1.69,1.00,1.57,1301.50,830.41,829.75,10.00,1.02,1.67,824.67,4.33
0552,81143,1863,10,5,100,3,1000.00,292.53,2393,620,144.71,806,1.77,5.00,1.04,1026.11,985.31,767.00,6.67,1.54,3.33,1026.00,3.00
0553,207812,1899,10,4,100,2,1000.00,488.86,2618,395,233.69,1155,1.60,7.00,0.93,951.86,1027.08,1013.50,8.00,0.00,4.00,1585.50,3.00
0554,60814,1882,10,4,100,3,1000.00,614.22,2997,263,577.53,1831,4.60,8.00,0.77,842.00,1088.88,1515.75,8.67,1.07,0.67,1404.67,2.67
0555,138178,1897,10,3,100,3,1000.00,338.08,1669,480,367.06,1109,4.40,6.00,1.06,1038.94,978.09,854.25,7.33,0.51,3.33,1252.33,2.00
0556,206690,1904,10,4,100,5,1000.00,322.11,1646,350,171.85,498,1.67,1.00,1.59,1313.53,823.64,411.00,7.50,1.68,3.25,790.50,4.75
0557,182400,1892,10,6,100,3,1000.00,195.69,1337,640,89.58,473,1.98,2.00,1.24,1142.53,919.83,824.50,5.33,0.58,2.00,878.00,2.33
0558,143904,1907,10,4,100,4,1000.00,545.48,2875,425,280.31,1253,1.69,4.00,1.25,1149.31,916.02,796.00,7.83,2.02,0.75,1262.00,3.25
0559,85335,1866,10,6,100,5,1000.00,267.63,1881,560,185.23,527,1.77,4.00,1.16,1094.86,946.64,871.25,5.00,2.14,4.80,935.80,4.20
0560,182665,1893,10,4,100,3,1000.00,225.41,1954,680,131.10,625,1.60,3.00,1.21,1124.86,929.77,785.50,10.00,3.79,2.00,1075.67,3.67
0561,163847,1891,10,4,100,2,1000.00,279.85,1514,565,321.97,931,4.21,8.00,1.06,1039.89,977.56,796.00,4.00,0.00,6.00,944.00,2.50
0562,114812,1874,10,5,100,3,1000.00,365.43,1762,480,415.84,1184,6.10,5.00,0.96,976.69,1013.11,1049.00,6.00,0.51,3.67,1098.67,1.00
0563,97778,1877,10,3,100,4,1000.00,185.43,1699,695,99.49,376,1.67,1.00,1.32,1185.67,895.56,800.00,10.00,1.53,1.00,895.67,3.67
0564,115684,1876,10,5,100,5,1000.00,529.28,2812,355,425.32,2009,3.02,6.00,1.02,1012.56,992.94,794.50,5.40,1.14,2.20,1462.00,2.00
0565,280725,1862,10,7,100,1,1000.00,375.75,1835,442,97.50,264,1.69,4.00,1.15,1091.00,948.81,816.50,0.00,0.00,6.00,785.00,6.00
0566,116691,1871,10,8,100,5,1000.00,203.55,1424,697,74.22,378,1.55,5.00,1.16,1097.94,944.91,781.25,6.40,1.78,1.40,1011.60,4.60
0567,574111,1868,10,2,100,3,1000.00,150.53,1243,727,179.73,477,4.33,5.00,0.98,986.94,1007.34,1141.50,1.00,0.00,5.50,862.50,2.50
0568,89812,1863,10,8,100,5,1000.00,238.32,1952,579,190.30,724,2.84,3.00,1.30,1172.92,902.73,698.00,8.20,3.23,3.40,1014.40,2.20
0569,181092,1886,10,4,100,3,1000.00,50.05,1086,920,48.56,143,3.07,2.00,1.02,1009.83,994.47,975.00,5.33,1.07,4.67,977.00,3.33
0570,259066,1878,10,3,100,3,1000.00,340.84,1864,452,156.27,494,1.71,8.00,1.03,1018.69,989.48,997.75,6.67,2.52,1.67,945.67,5.67
0571,152968,1867,10,8,100,4,1000.00,318.69,2776,445,226.58,1339,2.46,3.00,1.24,1143.06,919.53,892.00,8.17,2.29,1.75,1113.75,3.25
0572,159709,1846,10,7,100,2,1000.00,875.26,4202,171,417.52,2339,1.62,3.00,2.19,1533.42,699.95,419.75,6.00,0.00,3.00,1756.50,2.00
0573,210180,1832,10,6,100,1,1000.00,368.77,1742,459,422.64,1258,3.88,6.00,0.94,960.78,1022.06,1125.25,0.00,0.00,6.00,1474.00,3.00
0574,127998,1884,10,3,100,5,1000.00,225.57,1655,566,197.58,532,2.50,3.00,1.12,1075.61,957.47,844.00,10.00,2.50,0.67,916.00,4.00
0575,132955,1862,10,5,100,2,1000.00,369.44,1739,504,430.27,1224,6.15,6.00,0.95,970.72,1016.47,1124.00,7.00,0.00,5.50,1180.50,2.00
0576,86515,1831,10,8,100,3,1000.00,564.10,2217,279,612.03,1709,5.47,8.00,0.92,946.14,1030.30,1229.25,7.33,2.00,3.67,1216.00,1.33
0577,155842,1817,10,8,100,2,1000.00,410.22,1868,490,245.69,1285,2.28,6.00,1.01,1008.81,995.05,777.00,3.00,0.00,6.50,854.50,6.50
0578,133652,1875,10,5,100,4,1000.00,386.45,1834,235,154.68,524,2.08,5.00,1.19,1113.97,935.89,777.75,8.67,1.29,1.50,993.00,4.25
0579,58312,1857,10,3,100,2,1000.00,418.39,2415,436,363.77,1369,1.85,1.00,1.37,1211.03,881.30,680.25,7.00,0.00,4.50,877.50,4.00
0580,111041,1879,10,5,100,4,1000.00,355.10,1665,318,339.17,1145,3.62,5.00,1.28,1164.72,907.34,940.25,8.00,2.25,1.00,1138.25,2.25
0581,424844,1872,10,2,100,4,1000.00,247.65,1435,681,82.71,595,1.83,6.00,0.94,959.61,1022.72,1036.50,5.00,0.00,6.50,880.50,9.50
0582,182204,1886,10,4,100,2,1000.00,211.85,1911,693,101.23,456,1.52,2.00,1.29,1169.78,904.50,750.00,10.00,0.00,4.00,1115.50,4.50
0583,165197,1892,10,5,100,3,1000.00,314.68,1957,540,146.84,503,1.45,1.00,1.54,1291.17,836.22,588.75,8.00,1.54,3.67,753.67,5.33
0584,175874,1883,10,7,100,3,1000.00,233.89,1946,651,116.14,575,1.62,4.00,1.06,1038.36,978.42,876.50,7.33,2.60,1.33,1043.00,2.67
0585,99612,1842,10,8,100,4,1000.00,199.81,2143,718,105.03,794,1.67,2.00,1.25,1149.47,915.92,856.75,5.17,0.41,3.25,1078.00,3.00
0586,85329,1883,10,5,100,2,1000.00,361.23,1897,613,184.40,1101,2.21,8.00,0.84,892.78,1060.31,979.75,5.00,0.00,5.50,989.00,3.50
0587,122391,1878,10,3,100,4,1000.00,175.83,1273,712,198.11,550,5.02,2.00,0.97,979.25,1011.67,939.00,6.00,1.35,3.00,992.00,2.33
0588,238135,1890,10,2,100,2,1000.00,147.44,1222,768,179.72,442,4.28,4.00,1.01,1009.11,994.88,864.25,8.00,0.00,2.00,1092.00,1.50
0589,337920,1865,10,4,100,1,1000.00,211.65,2027,745,92.12,565,1.55,3.00,1.18,1107.97,939.27,846.25,0.00,0.00,3.00,1462.00,0.00
0590,120136,1882,10,6,100,2,1000.00,136.25,1555,882,94.67,633,4.15,5.00,0.99,995.11,1002.75,950.00,9.00,0.00,3.50,942.50,3.50
0591,150194,1897,10,4,100,4,1000.00,177.95,1785,621,145.99,699,4.02,6.00,0.99,996.17,1002.16,921.75,8.17,1.70,2.75,1089.50,2.50
0592,107727,1864,10,6,100,3,1000.00,432.54,2213,315,449.38,1421,5.06,6.00,0.81,871.00,1072.56,1216.75,6.00,1.50,3.00,753.33,2.67
0593,170190,1893,10,5,100,3,1000.00,421.32,1733,330,462.19,1340,4.83,3.00,1.13,1080.33,954.81,1138.25,8.00,2.52,3.33,1202.00,2.67
0594,307992,1906,10,2,100,5,1000.00,197.63,1605,691,63.43,299,1.69,7.00,1.06,1038.94,978.09,875.50,3.00,0.00,3.50,918.00,5.50
0595,123115,1856,10,3,100,4,1000.00,369.49,1761,450,130.61,358,1.79,4.00,1.22,1133.19,925.08,745.50,9.33,0.88,2.00,769.00,6.00
0596,460518,1877,10,2,100,2,1000.00,379.18,1859,523,269.74,1177,2.26,5.00,1.44,1241.17,864.34,697.25,11.00,0.00,1.50,1135.50,3.50
0597,168270,1874,10,2,100,4,1000.00,246.76,1386,562,295.13,801,4.78,3.50,0.95,964.44,1020.00,1032.00,8.00,0.00,1.00,1058.50,1.50
0598,340598,1830,10,7,100,1,1000.00,295.22,1610,391,105.07,395,1.64,5.00,1.20,1116.64,934.39,788.75,0.00,0.00,8.00,854.00,4.00
0599,107196,1865,10,3,100,3,1000.00,356.42,1895,453,258.03,974,2.78,2.00,1.33,1187.50,894.53,888.00,8.67,1.20,1.67,1119.33,3.00
0600,305584,1846,10,3,100,1,1000.00,233.48,1451,683,58.09,153,1.45,5.00,1.12,1071.67,959.69,862.25,0.00,0.00,4.00,1324.00,1.00
0601,336066,1832,10,2,100,1,1000.00,341.14,1954,611,262.37,1279,1.52,5.00,1.11,1068.78,961.31,846.75,0.00,0.00,7.00,737.00,5.00
0602,126837,1850,10,8,100,2,1000.00,235.15,1652,576,207.02,630,2.18,5.00,1.04,1024.89,986.00,839.00,7.00,0.00,5.50,768.00,7.50
0603,176642,1888,10,4,100,4,1000.00,722.95,3209,246,281.11,1022,1.45,3.00,1.87,1425.72,760.53,472.00,5.50,0.91,3.25,1471.75,1.75
0604,71819,1805,10,8,100,5,1000.00,125.32,1240,794,151.26,400,4.26,3.00,1.02,1015.39,991.34,1046.00,6.60,2.33,1.00,946.00,2.20
0605,98230,1871,10,7,100,4,1000.00,262.04,2040,714,182.47,1143,1.92,6.00,0.91,941.33,1033.00,870.00,8.00,0.00,1.00,944.50,5.00
0606,229687,1844,10,5,100,1,1000.00,240.80,1795,627,135.42,807,2.02,1.00,1.25,1147.61,916.97,846.00,0.00,0.00,6.00,1099.00,1.00
0607,287789,1837,10,5,100,1,1000.00,223.92,1634,638,187.67,728,5.09,7.00,0.97,982.17,1010.03,1010.00,0.00,0.00,6.00,1037.00,1.00
0608,105505,1821,10,7,100,4,1000.00,329.66,1844,480,273.87,868,2.02,4.00,1.04,1023.33,986.88,835.50,6.83,3.20,3.25,860.50,5.75
0609,91502,1850,10,5,100,4,1000.00,171.26,1743,776,70.19,420,2.88,5.00,1.05,1032.83,981.53,859.25,7.00,2.16,3.00,1081.50,2.25
0610,224887,1858,10,4,100,1,1000.00,583.22,2114,242,425.31,1736,2.88,5.00,1.20,1117.94,933.66,662.50,0.00,0.00,5.00,1339.00,1.00
0611,165270,1886,10,5,100,3,1000.00,148.89,1612,736,96.18,452,1.75,5.00,1.05,1028.83,983.78,964.75,6.67,2.00,2.00,1007.33,4.33
0612,128792,1868,10,3,100,5,1000.00,245.59,1410,614,268.86,788,4.48,4.00,0.98,987.17,1007.22,1069.25,9.33,0.67,1.00,919.67,2.33
0613,211463,1886,10,5,100,2,1000.00,197.60,1785,648,100.94,455,1.62,5.00,1.11,1070.11,960.56,837.00,12.00,0.00,1.00,1016.00,4.00
0614,287973,1857,10,2,100,1,1000.00,284.62,1529,401,133.31,396,2.08,2.00,1.29,1169.28,904.78,671.25,0.00,0.00,5.00,1200.00,2.00
0615,143325,1878,10,8,100,2,1000.00,400.14,1684,426,471.97,1225,4.99,4.00,1.06,1040.36,977.30,1198.75,3.00,0.00,3.50,911.00,1.00
0616,105660,1885,10,3,100,1,1000.00,272.88,2095,672,94.34,556,1.62,5.00,1.03,1021.03,988.17,827.75,0.00,0.00,5.00,787.00,8.00
0617,188369,1893,10,6,100,3,1000.00,372.57,1921,484,434.89,1332,4.79,7.00,0.95,969.94,1016.91,977.00,5.33,1.53,4.00,783.00,2.67
0618,99531,1879,10,4,100,3,1000.00,552.42,2539,299,265.13,1015,1.55,5.00,1.22,1129.42,927.20,772.25,4.00,1.39,3.33,1221.67,3.00
0619,79931,1887,10,5,100,5,1000.00,201.01,1640,637,125.17,439,3.34,5.00,1.02,1015.53,991.27,900.50,7.20,1.99,3.20,994.80,3.00
0620,143435,1890,10,5,100,3,1000.00,195.68,1551,586,128.13,589,3.31,4.00,1.13,1076.94,956.72,764.75,5.33,1.92,3.67,1080.00,2.00
0621,92065,1852,10,7,100,2,1000.00,98.99,1144,820,114.39,308,4.17,3.00,1.02,1015.42,991.33,983.75,7.00,0.00,4.50,1100.00,2.50
0622,191988,1820,10,8,100,1,1000.00,459.96,2196,306,211.06,1003,1.93,2.00,1.64,1333.08,812.64,567.75,0.00,0.00,4.00,1807.00,0.00
0623,128141,1882,10,4,100,2,1000.00,135.65,1224,747,163.84,416,4.61,5.00,0.99,996.64,1001.89,1029.75,6.00,0.00,2.00,946.00,1.50
0624,71061,1850,10,8,100,3,1000.00,263.58,1497,579,327.81,910,5.24,4.00,0.96,976.22,1013.38,1305.75,2.67,0.77,4.00,802.67,2.33
0625,83056,1842,10,7,100,3,1000.00,485.58,1886,337,540.13,1450,5.02,5.00,0.94,961.67,1021.56,893.25,10.67,2.69,1.00,957.33,2.67
0626,105148,1834,10,8,100,3,1000.00,454.85,2652,381,351.35,1573,1.92,6.00,0.92,947.14,1029.73,1100.25,5.33,1.68,4.67,1531.33,2.00
0627,144885,1883,10,4,100,4,1000.00,241.12,1505,551,74.48,255,1.67,5.00,1.17,1104.97,940.95,773.25,5.50,0.91,3.25,1093.25,2.00
0628,186484,1848,10,3,100,3,1000.00,322.14,1651,480,199.82,734,1.98,6.00,1.09,1057.22,967.81,975.75,8.00,1.07,0.67,1050.00,5.00
0629,134811,1891,10,4,100,5,1000.00,20.77,1028,958,22.31,70,4.29,4.00,1.00,997.64,1001.33,996.00,8.17,1.47,0.25,1003.25,2.25
0630,83158,1819,10,6,100,3,1000.00,453.25,1836,331,557.09,1484,4.83,4.00,0.93,954.06,1025.84,1073.00,4.67,1.45,1.00,947.67,1.67
0631,129414,1937,10,3,100,4,1000.00,561.11,3131,309,615.27,2793,3.98,2.00,1.17,1100.83,943.28,837.50,7.33,1.73,3.00,776.67,2.00
0632,114001,1876,10,3,100,5,1000.00,453.05,2139,403,471.09,1176,2.83,6.00,0.89,928.72,1040.09,1494.00,8.67,2.27,2.67,998.67,3.67
0633,126929,1865,10,3,100,1,1000.00,394.41,2629,477,376.12,1621,3.95,4.00,1.07,1044.58,974.92,1023.50,0.00,0.00,6.00,504.00,3.00
0634,99110,1880,10,6,100,4,1000.00,242.32,1734,488,200.98,704,2.40,1.00,1.28,1162.78,908.44,798.50,6.50,1.08,3.25,1266.00,1.75
0635,139337,1884,10,4,100,2,1000.00,136.76,1229,784,154.80,425,6.00,8.00,0.96,971.14,1016.23,1055.25,5.00,0.00,3.50,924.00,2.00
0636,64686,1872,10,7,100,4,1000.00,258.94,1462,595,287.93,826,5.69,6.00,1.01,1009.28,994.78,1140.25,7.00,2.52,3.50,806.50,2.75
0637,234079,1893,10,2,100,3,1000.00,64.25,1100,865,69.23,220,3.98,9.00,1.00,997.97,1001.14,1004.50,8.00,0.00,3.00,977.50,3.00
0638,264328,1917,10,5,100,1,1000.00,44.16,1074,921,50.30,144,4.00,6.00,1.00,1001.58,999.11,1004.50,0.00,0.00,6.00,1071.00,0.00
0639,115252,1906,10,4,100,4,1000.00,204.06,2045,681,87.17,594,2.15,5.00,1.03,1021.89,987.69,915.50,7.50,2.02,2.25,973.50,4.25
0640,116418,1902,10,3,100,3,1000.00,213.61,1609,590,197.12,578,2.07,2.00,1.16,1096.53,945.70,758.25,5.33,1.53,3.00,1045.67,1.00
0641,85478,1889,10,8,100,5,1000.00,456.08,2267,443,300.56,1642,2.41,4.00,0.89,929.97,1039.39,1080.00,5.20,2.43,1.00,976.20,3.00
0642,383018,1893,10,4,100,1,1000.00,171.17,1530,861,77.53,538,1.55,6.00,0.94,957.42,1023.95,1093.75,0.00,0.00,6.00,1530.00,0.00
0643,126187,1887,10,7,100,2,1000.00,187.22,1702,834,119.34,802,4.79,7.00,1.03,1017.17,990.34,950.00,7.00,0.00,4.50,893.50,3.00
0644,137977,1897,10,5,100,3,1000.00,248.47,1826,620,117.03,526,1.62,2.00,1.26,1152.92,913.98,740.25,5.33,1.07,3.67,878.33,4.67
0645,211677,1898,10,2,100,2,1000.00,330.17,2342,762,151.53,989,3.90,6.00,0.90,935.81,1036.11,906.75,8.00,0.00,5.00,837.50,8.00
0646,643221,1881,10,2,100,1,1000.00,186.56,1989,773,88.67,669,1.69,1.00,1.31,1176.83,900.53,807.75,0.00,0.00,2.00,1223.00,1.00
0647,114109,1888,10,5,100,3,1000.00,1.25,1002,995,1.32,6,5.43,5.29,1.00,999.81,1000.11,1000.25,4.67,0.33,3.00,999.67,1.00
0648,104236,1868,10,8,100,5,1000.00,79.29,1125,857,86.60,251,4.88,3.00,1.00,1002.08,998.83,1086.00,7.80,1.76,1.80,986.80,2.00
0649,143186,1882,10,4,100,2,1000.00,132.27,1431,840,99.78,542,2.88,5.00,0.97,981.19,1010.58,1023.50,2.00,0.00,5.00,1007.00,3.00
0650,259484,1826,10,6,100,1,1000.00,94.71,1156,822,109.68,325,4.55,1.00,1.02,1009.92,994.42,1002.00,0.00,0.00,5.00,888.00,4.00
0651,158536,1854,10,3,100,2,1000.00,412.95,1813,229,148.22,431,1.69,6.00,1.15,1088.89,950.00,766.25,6.00,0.00,3.00,1386.00,1.00
0652,93199,1838,10,7,100,2,1000.00,322.86,1583,457,281.65,1091,5.15,6.00,0.99,993.89,1003.44,975.75,7.00,0.00,5.50,985.50,2.00
0653,156012,1788,10,8,100,1,1000.00,421.96,2096,548,243.10,1339,2.00,8.00,0.89,928.39,1040.28,1119.00,0.00,0.00,2.00,1283.00,4.00
0654,91480,1871,10,7,100,4,1000.00,269.87,1777,576,107.46,439,1.45,3.00,1.26,1153.97,913.39,790.00,9.50,2.48,0.25,1007.00,4.25
0655,96427,1864,10,5,100,4,1000.00,307.95,1531,469,369.50,1062,4.25,5.00,1.02,1014.33,991.94,1009.25,10.00,2.58,1.50,1151.75,2.50
0656,126372,1886,10,3,100,5,1000.00,228.61,1408,564,261.48,765,5.21,5.50,1.03,1021.36,987.98,827.75,5.33,1.20,1.00,969.33,2.33
0657,103093,1874,10,3,100,4,1000.00,304.92,2336,508,166.39,766,1.67,6.00,1.01,1003.42,998.08,885.75,8.00,1.35,2.33,1201.67,4.00
0658,111391,1848,10,5,100,3,1000.00,448.43,2056,439,285.30,1453,2.74,7.00,1.20,1119.33,932.88,935.25,8.67,1.68,2.33,1157.33,2.00
0659,155691,1863,10,3,100,3,1000.00,380.68,1840,502,435.44,1324,5.27,3.00,0.97,982.08,1010.08,1180.75,5.33,1.95,3.67,1108.00,1.33
0660,264973,1843,10,5,100,1,1000.00,361.01,2629,626,322.49,1782,3.52,3.00,1.16,1097.61,945.09,1030.50,0.00,0.00,6.00,780.00,3.00
0661,94125,1863,10,8,100,5,1000.00,363.95,2460,476,245.04,1158,4.96,5.00,1.08,1049.25,972.30,667.75,6.20,2.80,2.60,1254.60,1.20
0662,122261,1879,10,5,100,4,1000.00,83.90,1142,850,94.19,274,4.76,4.33,1.00,997.92,1001.17,1025.50,6.83,1.80,0.75,1001.75,2.00
0663,130926,1826,10,8,100,2,1000.00,189.89,1943,826,108.97,898,4.76,6.00,0.93,951.81,1027.11,982.25,4.00,0.00,4.00,1034.50,3.00
0664,355582,1866,10,4,100,1,1000.00,292.78,2195,603,121.06,500,1.92,6.00,1.06,1037.06,979.16,857.50,0.00,0.00,5.00,676.00,7.00
0665,187337,1896,10,4,100,2,1000.00,459.35,1995,325,501.78,1381,5.21,4.00,0.91,941.33,1033.00,972.50,6.00,0.00,5.00,1253.00,0.50
0666,336411,1853,10,5,100,1,1000.00,395.52,2358,541,125.44,598,1.60,4.00,1.12,1075.17,957.72,624.75,0.00,0.00,7.00,585.00,8.00
0667,70885,1836,10,8,100,5,1000.00,6.83,1010,988,7.84,20,4.73,4.50,1.00,999.53,1000.27,1004.25,5.60,1.79,1.20,1000.80,1.40
0668,241092,1850,10,4,100,1,1000.00,439.67,1820,415,517.71,1367,4.15,7.00,0.98,984.14,1008.92,1326.50,0.00,0.00,7.00,537.00,5.00
0669,110164,1859,10,3,100,5,1000.00,255.98,1948,609,156.48,537,1.79,4.00,1.14,1086.67,951.25,770.50,4.67,0.84,3.00,1157.67,2.33
0670,125057,1844,10,7,100,5,1000.00,374.05,2316,477,366.18,1528,5.77,6.00,0.98,983.97,1009.02,619.75,5.20,1.23,1.60,946.00,1.60
0671,107628,1833,10,5,100,4,1000.00,449.94,2085,501,294.21,1488,2.91,4.00,0.95,968.44,1017.75,1011.50,8.67,1.78,2.00,687.75,5.25
0672,73042,1812,10,8,100,5,1000.00,287.88,2042,591,160.51,540,1.69,7.00,0.96,971.64,1015.95,1054.75,8.20,1.90,2.20,1043.40,4.00
0673,148127,1868,10,2,100,4,1000.00,564.92,2933,303,291.36,1110,1.97,5.00,0.96,973.56,1014.88,1090.25,8.00,0.00,2.00,722.50,6.00
0674,228560,1882,10,3,100,3,1000.00,533.25,2224,234,449.49,1979,2.91,2.00,1.54,1287.86,838.08,924.00,6.67,1.84,1.00,1040.00,2.67
0675,306179,1864,10,2,100,4,1000.00,414.26,2843,410,318.28,1250,2.41,8.00,0.99,996.67,1001.88,939.25,6.00,0.00,4.00,1467.50,1.50
0676,122336,1872,10,5,100,4,1000.00,283.93,1502,550,322.20,946,4.02,4.00,0.92,948.44,1029.00,1070.50,3.50,0.41,3.75,1113.00,0.75
0677,214777,1870,10,4,100,1,1000.00,271.38,1523,594,303.67,888,5.22,4.00,1.05,1028.36,984.05,994.50,0.00,0.00,4.00,1481.00,0.00
0678,157294,1857,10,3,100,5,1000.00,285.12,2094,541,164.56,664,1.64,4.00,1.20,1121.47,931.67,734.00,9.33,3.34,1.67,1209.67,3.00
0679,256355,1849,10,5,100,1,1000.00,161.75,1223,692,179.38,525,5.80,5.50,1.00,1000.58,999.67,984.00,0.00,0.00,3.00,1032.00,5.00
0680,121142,1873,10,6,100,4,1000.00,546.45,2429,323,150.83,596,1.62,3.00,1.30,1175.06,901.53,659.75,8.83,1.85,0.25,732.50,4.75
0681,81255,1860,10,7,100,5,1000.00,249.56,1458,544,273.46,869,5.16,6.00,0.93,954.64,1025.52,1034.75,8.20,2.43,1.00,836.00,2.80
0682,189963,1881,10,5,100,4,1000.00,238.24,1819,531,163.61,585,2.05,2.00,1.27,1157.67,911.31,684.00,5.00,1.41,2.00,977.75,3.50
0683,109324,1884,10,4,100,3,1000.00,284.27,2166,577,167.56,641,1.65,2.00,1.35,1198.92,888.11,795.50,8.67,1.92,1.67,1088.00,3.33
0684,325520,1839,10,2,100,1,1000.00,380.55,2199,456,187.68,601,1.70,5.00,1.22,1128.61,927.66,700.00,0.00,0.00,7.00,776.00,4.00
0685,96818,1855,10,5,100,2,1000.00,402.59,2056,498,235.10,1308,2.02,3.00,0.92,944.00,1031.50,961.75,10.00,0.00,3.00,808.00,6.00
0686,91695,1866,10,4,100,4,1000.00,295.42,2181,614,283.29,1321,3.94,5.00,1.06,1036.72,979.34,979.00,4.67,1.63,3.50,996.00,1.75
0687,254605,1862,10,5,100,1,1000.00,296.37,2640,613,184.93,991,1.70,4.00,1.19,1116.11,934.69,897.75,0.00,0.00,4.00,731.00,5.00
0688,84194,1863,10,5,100,3,1000.00,394.52,3097,447,289.15,1473,2.05,5.00,1.00,999.44,1000.31,848.25,10.00,0.96,2.33,729.00,5.67
0689,149599,1876,10,4,100,2,1000.00,561.61,2204,314,639.53,1772,3.98,4.00,1.18,1107.42,939.58,919.50,5.00,0.00,5.50,659.00,2.50
0690,67227,1871,10,5,100,2,1000.00,338.57,2115,527,334.75,1552,5.44,7.00,0.94,962.06,1021.34,1028.25,12.00,0.00,1.00,1550.50,0.50
0691,137901,1875,10,5,100,3,1000.00,320.10,2396,628,123.67,730,1.77,8.00,0.98,987.69,1006.92,955.50,10.00,3.37,0.67,1113.00,4.67
